Date	Total	Merch	Bikes	Repairs	Loyal Member
3/25/2009	0	0	0	0	1
3/26/2009	24	24	0	0	1
3/27/2009	15	15	0	0	1
3/28/2009	0	0	0	0	1
3/29/2009	0	0	0	0	1
3/30/2009	0	0	0	0	1
3/31/2009	46	46	0	0	1
4/1/2009	0	0	0	0	1
4/2/2009	13	13	0	0	1
4/3/2009	83.35	83.35	0	0	1
4/4/2009	70	0	0	70	1
4/5/2009	0	0	0	0	1
4/6/2009	20	20	0	0	1
4/7/2009	59	59	0	0	0
4/8/2009	60	36	0	24	0
4/9/2009	58	0	0	58	0
4/10/2009	0	0	0	0	0
4/11/2009	36	36	0	0	0
4/12/2009	15	15	0	0	0
4/13/2009	88	73	0	15	1
4/14/2009	102	78	0	24	1
4/15/2009	42	42	0	0	1
4/16/2009	34	0	0	34	0
4/17/2009	40	40	0	0	0
4/18/2009	174	89	0	85	0
4/19/2009	261.85	201.85	0	60	0
4/20/2009	92	92	0	0	0
4/21/2009	140	140	0	0	0
4/22/2009	171	117	0	54	1
4/23/2009	88	60	0	28	1
4/24/2009	102.55	102.55	0	0	1
4/25/2009	0	0	0	0	0
4/26/2009	0	0	0	0	0
4/27/2009	36	36	0	0	0
4/28/2009	0	0	0	0	0
4/29/2009	0	0	0	0	0
4/30/2009	0	0	0	0	0
5/1/2009	0	0	0	0	1
5/2/2009	0	0	0	0	1
5/3/2009	0	0	0	0	1
5/4/2009	220	25	0	195	0
5/5/2009	0	0	0	0	0
5/6/2009	0	0	0	0	0
5/7/2009	0	0	0	0	0
5/8/2009	0	0	0	0	0
5/9/2009	69.5	23.5	0	46	0
5/10/2009	0	0	0	0	0
5/11/2009	30	30	0	0	1
5/12/2009	44	0	0	44	1
5/13/2009	28	0	0	28	1
5/14/2009	0	0	0	0	1
5/15/2009	0	0	0	0	1
5/16/2009	12	0	0	12	1
5/17/2009	21	21	0	0	1
5/18/2009	0	0	0	0	1
5/19/2009	10.2	10.2	0	0	1
5/20/2009	0	0	0	0	1
5/21/2009	21	21	0	0	1
5/22/2009	0	0	0	0	0
5/23/2009	13.5	13.5	0	0	0
5/24/2009	936.1	0	936.1	0	0
5/25/2009	796.21	80	716.21	0	0
5/26/2009	0	0	0	0	0
5/27/2009	0	0	0	0	0
5/28/2009	100	100	0	0	1
5/29/2009	0	0	0	0	1
5/30/2009	0	0	0	0	1
5/31/2009	55	55	0	0	0
6/1/2009	0	0	0	0	0
6/2/2009	43	43	0	0	0
6/3/2009	0	0	0	0	0
6/4/2009	0	0	0	0	0
6/5/2009	0	0	0	0	0
6/6/2009	0	0	0	0	0
6/7/2009	365	0	0	365	1
6/8/2009	16	16	0	0	1
6/9/2009	0	0	0	0	0
6/10/2009	22	0	0	22	0
6/11/2009	30	30	0	0	0
6/12/2009	135	125	0	10	0
6/13/2009	838.45	800.45	0	38	0
6/14/2009	2622.45	0	2485.45	137	0
6/15/2009	29	0	0	29	0
6/16/2009	169.75	163.75	0	6	0
6/17/2009	196	93	0	103	1
6/18/2009	85.05	85.05	0	0	0
6/19/2009	0	0	0	0	0
6/20/2009	100.15	85.15	0	15	0
6/21/2009	0	0	0	0	0
6/22/2009	0	0	0	0	0
6/23/2009	1195.39	0	1180.39	15	0
6/24/2009	119	42	0	77	0
6/25/2009	51	51	0	0	0
6/26/2009	0	0	0	0	1
6/27/2009	11.5	11.5	0	0	0
6/28/2009	47.6	47.6	0	0	0
6/29/2009	39	39	0	0	0
6/30/2009	44.4	44.4	0	0	0
7/1/2009	1498.1	67	1431.1	0	0
7/2/2009	1104.56	18	1086.56	0	0
7/3/2009	22.5	22.5	0	0	0
7/4/2009	41	41	0	0	0
7/5/2009	0	0	0	0	1
7/6/2009	37.25	37.25	0	0	0
7/7/2009	819.47	0	819.47	0	0
7/8/2009	10	10	0	0	0
7/9/2009	74.5	74.5	0	0	0
7/10/2009	27	27	0	0	0
7/11/2009	100	100	0	0	0
7/12/2009	0	0	0	0	0
7/13/2009	40	40	0	0	0
7/14/2009	42.5	42.5	0	0	0
7/15/2009	12.5	12.5	0	0	0
7/16/2009	2180.8	0	2180.8	0	0
7/17/2009	237.5	237.5	0	0	0
7/18/2009	85	85	0	0	0
7/19/2009	51.75	51.75	0	0	0
7/20/2009	26	26	0	0	0
7/21/2009	0	0	0	0	0
7/22/2009	118	118	0	0	0
7/23/2009	13	13	0	0	0
7/24/2009	0	0	0	0	0
7/25/2009	66.5	66.5	0	0	0
7/26/2009	20	20	0	0	0
7/27/2009	0	0	0	0	0
7/28/2009	0	0	0	0	0
7/29/2009	18	18	0	0	0
7/30/2009	0	0	0	0	0
7/31/2009	0	0	0	0	0
8/1/2009	0	0	0	0	0
8/2/2009	97	97	0	0	0
8/3/2009	0	0	0	0	1
8/4/2009	0	0	0	0	0
8/5/2009	0	0	0	0	0
8/6/2009	38	38	0	0	0
8/7/2009	0	0	0	0	0
8/8/2009	0	0	0	0	0
8/9/2009	90	73	0	17	0
8/10/2009	62	62	0	0	1
8/11/2009	10	10	0	0	1
8/12/2009	21	21	0	0	1
8/13/2009	98	98	0	0	0
8/14/2009	0	0	0	0	0
8/15/2009	20	20	0	0	0
8/16/2009	0	0	0	0	1
8/17/2009	0	0	0	0	1
8/18/2009	0	0	0	0	1
8/19/2009	1179.13	60	1119.13	0	1
8/20/2009	22	22	0	0	1
8/21/2009	0	0	0	0	1
8/22/2009	15	15	0	0	0
8/23/2009	40	40	0	0	0
8/24/2009	46	46	0	0	0
8/25/2009	33	33	0	0	0
8/26/2009	15	15	0	0	0
8/27/2009	9	9	0	0	0
8/28/2009	33	33	0	0	0
8/29/2009	26	26	0	0	0
8/30/2009	77	55	0	22	0
8/31/2009	520.45	520.45	0	0	0
9/1/2009	36	36	0	0	0
9/2/2009	9	9	0	0	0
9/3/2009	0	0	0	0	0
9/4/2009	0	0	0	0	0
9/5/2009	50	50	0	0	0
9/6/2009	0	0	0	0	1
9/7/2009	46	3	0	43	1
9/8/2009	0	0	0	0	1
9/9/2009	0	0	0	0	1
9/10/2009	0	0	0	0	0
9/11/2009	46.5	11.5	0	35	0
9/12/2009	100	65	0	35	0
9/13/2009	10	10	0	0	0
9/14/2009	43.5	43.5	0	0	0
9/15/2009	42	22	0	20	0
9/16/2009	5	5	0	0	1
9/17/2009	2.5	2.5	0	0	1
9/18/2009	2.5	2.5	0	0	1
9/19/2009	50	50	0	0	0
9/20/2009	0	0	0	0	0
9/21/2009	0	0	0	0	0
9/22/2009	0	0	0	0	0
9/23/2009	0	0	0	0	1
9/24/2009	25	25	0	0	1
9/25/2009	0	0	0	0	1
9/26/2009	0	0	0	0	1
9/27/2009	0	0	0	0	1
9/28/2009	325	20	0	305	0
9/29/2009	26	0	0	26	0
9/30/2009	0	0	0	0	0
10/1/2009	0	0	0	0	0
10/2/2009	0	0	0	0	0
10/3/2009	0	0	0	0	0
10/4/2009	20	20	0	0	0
10/5/2009	0	0	0	0	0
10/6/2009	29	0	0	29	0
10/7/2009	0	0	0	0	0
10/8/2009	16	16	0	0	1
10/9/2009	73	5	0	68	1
10/10/2009	152	42	0	110	1
10/11/2009	365	185	0	180	1
10/12/2009	139.75	79.75	0	60	1
10/13/2009	75	75	0	0	1
10/14/2009	28	28	0	0	1
10/15/2009	0	0	0	0	1
10/16/2009	92	24	0	68	1
10/17/2009	28	10	0	18	1
10/18/2009	28	0	0	28	1
10/19/2009	0	0	0	0	1
10/20/2009	66	66	0	0	1
10/21/2009	0	0	0	0	1
10/22/2009	30	10	0	20	1
10/23/2009	27	27	0	0	1
10/24/2009	60	10	0	50	1
10/25/2009	16	16	0	0	0
10/26/2009	24	8	0	16	0
10/27/2009	131	78	0	53	0
10/28/2009	120	57	0	63	0
10/29/2009	69	41	0	28	0
10/30/2009	38	8	0	30	0
10/31/2009	9	9	0	0	1
11/1/2009	18	18	0	0	1
11/2/2009	9	9	0	0	1
11/3/2009	0	0	0	0	0
11/4/2009	660	0	0	660	0
11/5/2009	0	0	0	0	0
11/6/2009	0	0	0	0	0
11/7/2009	0	0	0	0	0
11/8/2009	0	0	0	0	0
11/9/2009	0	0	0	0	0
11/10/2009	0	0	0	0	1
11/11/2009	0	0	0	0	1
11/12/2009	0	0	0	0	0
11/13/2009	0	0	0	0	0
11/14/2009	0	0	0	0	0
11/15/2009	22	22	0	0	0
11/16/2009	82.7	82.7	0	0	1
11/17/2009	0	0	0	0	1
11/18/2009	12	12	0	0	1
11/19/2009	12	12	0	0	1
11/20/2009	12	12	0	0	1
11/21/2009	0	0	0	0	0
11/22/2009	1106	20	0	1086	0
11/23/2009	29	11	0	18	1
11/24/2009	2251	56	0	2195	1
11/25/2009	11	11	0	0	1
11/26/2009	0	0	0	0	1
11/27/2009	36	0	0	36	1
11/28/2009	19	19	0	0	1
11/29/2009	892	0	0	892	1
11/30/2009	280	0	0	280	0
12/1/2009	16	16	0	0	0
12/2/2009	49	19	0	30	0
12/3/2009	26	26	0	0	0
12/4/2009	11	11	0	0	0
12/5/2009	60	0	0	60	1
12/6/2009	20	20	0	0	1
12/7/2009	1640	0	0	1640	1
12/8/2009	420	10	0	410	1
12/9/2009	32	0	0	32	0
12/10/2009	0	0	0	0	0
12/11/2009	175	0	0	175	0
12/12/2009	0	0	0	0	0
12/13/2009	321.06	321.06	0	0	0
12/14/2009	1090	18	0	1072	0
12/15/2009	270	49	0	221	1
12/16/2009	18	18	0	0	1
12/17/2009	0	0	0	0	1
12/18/2009	0	0	0	0	0
12/19/2009	0	0	0	0	0
12/20/2009	0	0	0	0	0
12/21/2009	0	0	0	0	0
12/22/2009	760.95	0	760.95	0	0
12/23/2009	0	0	0	0	1
12/24/2009	0	0	0	0	1
12/25/2009	0	0	0	0	1
12/26/2009	0	0	0	0	1
12/27/2009	12	12	0	0	0
12/28/2009	117.5	117.5	0	0	0
12/29/2009	42	42	0	0	0
12/30/2009	1872.55	12	1837.55	23	0
12/31/2009	0	0	0	0	0
1/1/2010	35	35	0	0	0
1/2/2010	89.85	89.85	0	0	0
1/3/2010	77	77	0	0	0
1/4/2010	0	0	0	0	0
1/5/2010	0	0	0	0	0
1/6/2010	36	36	0	0	0
1/7/2010	0	0	0	0	0
1/8/2010	0	0	0	0	0
1/9/2010	0	0	0	0	0
1/10/2010	15	15	0	0	0
1/11/2010	0	0	0	0	0
1/12/2010	20	20	0	0	0
1/13/2010	45	45	0	0	0
1/14/2010	0	0	0	0	0
1/15/2010	15	15	0	0	0
1/16/2010	2046.6	263	1783.6	0	0
1/17/2010	180	180	0	0	0
1/18/2010	330	330	0	0	1
1/19/2010	0	0	0	0	1
1/20/2010	0	0	0	0	1
1/21/2010	0	0	0	0	1
1/22/2010	205	205	0	0	1
1/23/2010	0	0	0	0	0
1/24/2010	28	28	0	0	0
1/25/2010	0	0	0	0	0
1/26/2010	0	0	0	0	0
1/27/2010	0	0	0	0	0
1/28/2010	0	0	0	0	0
1/29/2010	71	71	0	0	0
1/30/2010	35	20	0	15	0
1/31/2010	0	0	0	0	0
2/1/2010	0	0	0	0	0
2/2/2010	0	0	0	0	0
2/3/2010	0	0	0	0	0
2/4/2010	140.05	140.05	0	0	0
2/5/2010	22	22	0	0	0
2/6/2010	0	0	0	0	0
2/7/2010	0	0	0	0	0
2/8/2010	0	0	0	0	0
2/9/2010	0	0	0	0	0
2/10/2010	188	15	0	173	0
2/11/2010	0	0	0	0	0
2/12/2010	39	39	0	0	0
2/13/2010	0	0	0	0	0
2/14/2010	70	70	0	0	0
2/15/2010	92	92	0	0	0
2/16/2010	164	164	0	0	0
2/17/2010	3298.6	360.97	2937.63	0	0
2/18/2010	110	110	0	0	0
2/19/2010	18	18	0	0	0
2/20/2010	0	0	0	0	0
2/21/2010	53.25	53.25	0	0	0
2/22/2010	1603.11	0	1603.11	0	0
2/23/2010	5	5	0	0	0
2/24/2010	15	15	0	0	0
2/25/2010	15	15	0	0	0
2/26/2010	0	0	0	0	0
2/27/2010	27.5	27.5	0	0	0
2/28/2010	48	0	0	48	0
3/1/2010	0	0	0	0	0
3/2/2010	12	12	0	0	0
3/3/2010	34	20	0	14	0
3/4/2010	25	10	0	15	0
3/5/2010	30	30	0	0	0
3/6/2010	29	29	0	0	0
3/7/2010	115	115	0	0	0
3/8/2010	77	77	0	0	0
3/9/2010	284.5	242.5	0	42	1
3/10/2010	12	12	0	0	0
3/11/2010	182	10	0	172	0
3/12/2010	0	0	0	0	0
3/13/2010	75	35	0	40	0
3/14/2010	36	0	0	36	0
3/15/2010	81	45	0	36	0
3/16/2010	78	0	0	78	0
3/17/2010	78	60	0	18	0
3/18/2010	260	70	0	190	1
3/19/2010	86	18	0	68	0
3/20/2010	11	6	0	5	0
3/21/2010	96	96	0	0	0
3/22/2010	246	41	0	205	0
3/23/2010	45	0	0	45	0
3/24/2010	182	73	0	109	0
3/25/2010	146	56	0	90	0
3/26/2010	42	14	0	28	0
3/27/2010	136	106	0	30	0
3/28/2010	60	0	0	60	0
3/29/2010	115	100	0	15	0
3/30/2010	36	36	0	0	0
3/31/2010	176	111	0	65	0
4/1/2010	280	250	0	30	0
4/2/2010	63	63	0	0	0
4/3/2010	254	254	0	0	0
4/4/2010	157	112	0	45	0
4/5/2010	114	74	0	40	0
4/6/2010	106	71	0	35	0
4/7/2010	224	149	0	75	0
4/8/2010	10	10	0	0	0
4/9/2010	0	0	0	0	0
4/10/2010	0	0	0	0	0
4/11/2010	10	10	0	0	1
4/12/2010	10	10	0	0	1
4/13/2010	10	10	0	0	1
4/14/2010	10	10	0	0	1
4/15/2010	0	0	0	0	1
4/16/2010	0	0	0	0	1
4/17/2010	10	10	0	0	0
4/18/2010	20	20	0	0	0
4/19/2010	47	15	0	32	0
4/20/2010	10	10	0	0	0
4/21/2010	199	10	0	189	0
4/22/2010	0	0	0	0	0
4/23/2010	10	10	0	0	1
4/24/2010	69	30	0	39	1
4/25/2010	25	10	0	15	1
4/26/2010	111	53	0	58	0
4/27/2010	94	94	0	0	0
4/28/2010	12	12	0	0	0
4/29/2010	37	37	0	0	0
4/30/2010	24	24	0	0	0
5/1/2010	111	111	0	0	0
5/2/2010	42	42	0	0	0
5/3/2010	0	0	0	0	1
5/4/2010	51	51	0	0	1
5/5/2010	0	0	0	0	1
5/6/2010	0	0	0	0	1
5/7/2010	0	0	0	0	1
5/8/2010	0	0	0	0	1
5/9/2010	0	0	0	0	1
5/10/2010	0	0	0	0	1
5/11/2010	0	0	0	0	1
5/12/2010	0	0	0	0	1
5/13/2010	40	0	0	40	1
5/14/2010	0	0	0	0	0
5/15/2010	0	0	0	0	0
5/16/2010	42	42	0	0	0
5/17/2010	32.5	32.5	0	0	0
5/18/2010	15	15	0	0	0
5/19/2010	157	59	0	98	0
5/20/2010	11.5	11.5	0	0	0
5/21/2010	49	49	0	0	1
5/22/2010	0	0	0	0	1
5/23/2010	12.5	12.5	0	0	0
5/24/2010	0	0	0	0	1
5/25/2010	558	0	0	558	1
5/26/2010	37.5	37.5	0	0	1
5/27/2010	28.5	28.5	0	0	1
5/28/2010	180	0	0	180	1
5/29/2010	27	27	0	0	1
5/30/2010	35	35	0	0	1
5/31/2010	0	0	0	0	1
6/1/2010	0	0	0	0	0
6/2/2010	31.25	31.25	0	0	0
6/3/2010	119.25	119.25	0	0	0
6/4/2010	46	46	0	0	0
6/5/2010	18.25	18.25	0	0	0
6/6/2010	0	0	0	0	0
6/7/2010	0	0	0	0	1
6/8/2010	0	0	0	0	1
6/9/2010	0	0	0	0	1
6/10/2010	0	0	0	0	0
6/11/2010	0	0	0	0	0
6/12/2010	99.5	45.5	0	54	0
6/13/2010	0	0	0	0	1
6/14/2010	58	58	0	0	1
6/15/2010	105	105	0	0	1
6/16/2010	0	0	0	0	1
6/17/2010	15.5	15.5	0	0	1
6/18/2010	36.5	15.5	0	21	1
6/19/2010	16.5	16.5	0	0	0
6/20/2010	44.5	44.5	0	0	0
6/21/2010	327.24	309.24	0	18	1
6/22/2010	0	0	0	0	1
6/23/2010	98	36	0	62	1
6/24/2010	337.5	39.5	0	298	1
6/25/2010	0	0	0	0	1
6/26/2010	306.5	56.5	0	250	1
6/27/2010	16.5	16.5	0	0	1
6/28/2010	203	203	0	0	0
6/29/2010	189	189	0	0	0
6/30/2010	55	55	0	0	0
7/1/2010	113	113	0	0	0
7/2/2010	439	439	0	0	1
7/3/2010	225	225	0	0	1
7/4/2010	172	172	0	0	1
7/5/2010	92	92	0	0	1
7/6/2010	19	19	0	0	1
7/7/2010	168	168	0	0	0
7/8/2010	50	50	0	0	0
7/9/2010	50	50	0	0	0
7/10/2010	109	109	0	0	0
7/11/2010	225	225	0	0	1
7/12/2010	45	45	0	0	1
7/13/2010	86	86	0	0	1
7/14/2010	74	74	0	0	1
7/15/2010	78	78	0	0	1
7/16/2010	40	40	0	0	0
7/17/2010	30	30	0	0	0
7/18/2010	76	76	0	0	0
7/19/2010	66	66	0	0	0
7/20/2010	68	68	0	0	0
7/21/2010	161	161	0	0	0
7/22/2010	38	38	0	0	1
7/23/2010	6	6	0	0	1
7/24/2010	54	54	0	0	1
7/25/2010	900	0	0	900	0
7/26/2010	117.95	117.95	0	0	1
7/27/2010	79	79	0	0	1
7/28/2010	589.47	46	543.47	0	1
7/29/2010	1019.07	24	995.07	0	1
7/30/2010	22	22	0	0	1
7/31/2010	12	12	0	0	1
8/1/2010	102	12	0	90	1
8/2/2010	942	42	0	900	1
8/3/2010	44	0	0	44	0
8/4/2010	52	0	0	52	0
8/5/2010	3	3	0	0	0
8/6/2010	72	72	0	0	1
8/7/2010	37	37	0	0	1
8/8/2010	24.24	24.24	0	0	1
8/9/2010	0	0	0	0	1
8/10/2010	0	0	0	0	1
8/11/2010	60	0	0	60	1
8/12/2010	0	0	0	0	0
8/13/2010	5	0	0	5	0
8/14/2010	9	9	0	0	0
8/15/2010	192	0	0	192	0
8/16/2010	50	50	0	0	0
8/17/2010	152	136	0	16	0
8/18/2010	321	290	0	31	0
8/19/2010	0	0	0	0	0
8/20/2010	64	55	0	9	1
8/21/2010	127	0	0	127	0
8/22/2010	0	0	0	0	0
8/23/2010	14	14	0	0	0
8/24/2010	0	0	0	0	0
8/25/2010	0	0	0	0	0
8/26/2010	0	0	0	0	0
8/27/2010	0	0	0	0	0
8/28/2010	0	0	0	0	0
8/29/2010	0	0	0	0	1
8/30/2010	61	61	0	0	0
8/31/2010	80.05	80.05	0	0	0
9/1/2010	98.25	58.25	0	40	0
9/2/2010	43	43	0	0	0
9/3/2010	20	20	0	0	0
9/4/2010	0	0	0	0	0
9/5/2010	130.65	25	105.65	0	0
9/6/2010	149	89	0	60	1
9/7/2010	92	64	0	28	1
9/8/2010	56.25	56.25	0	0	0
9/9/2010	73.5	73.5	0	0	0
9/10/2010	115	115	0	0	0
9/11/2010	58	58	0	0	0
9/12/2010	101.5	101.5	0	0	0
9/13/2010	0	0	0	0	0
9/14/2010	1596.6	0	1356.6	240	0
9/15/2010	90.75	45.25	0	45.5	0
9/16/2010	0	0	0	0	0
9/17/2010	0	0	0	0	0
9/18/2010	292.5	234.5	0	58	0
9/19/2010	136.25	26.25	0	110	0
9/20/2010	12	12	0	0	0
9/21/2010	0	0	0	0	0
9/22/2010	91.5	91.5	0	0	0
9/23/2010	672.5	51	621.5	0	0
9/24/2010	15.25	15.25	0	0	0
9/25/2010	0	0	0	0	0
9/26/2010	46	0	0	46	0
9/27/2010	0	0	0	0	0
9/28/2010	0	0	0	0	0
9/29/2010	0	0	0	0	0
9/30/2010	0	0	0	0	0
10/1/2010	0	0	0	0	0
10/2/2010	0	0	0	0	1
10/3/2010	37	0	0	37	1
10/4/2010	32	0	0	32	1
10/5/2010	0	0	0	0	1
10/6/2010	61.5	61.5	0	0	0
10/7/2010	0	0	0	0	0
10/8/2010	0	0	0	0	0
10/9/2010	14	14	0	0	0
10/10/2010	0	0	0	0	0
10/11/2010	568	14	0	554	0
10/12/2010	40	0	0	40	1
10/13/2010	165	0	0	165	1
10/14/2010	0	0	0	0	1
10/15/2010	33.5	33.5	0	0	0
10/16/2010	38	0	0	38	0
10/17/2010	30	30	0	0	1
10/18/2010	59	15	0	44	1
10/19/2010	119	119	0	0	1
10/20/2010	0	0	0	0	1
10/21/2010	0	0	0	0	1
10/22/2010	0	0	0	0	1
10/23/2010	0	0	0	0	1
10/24/2010	97	97	0	0	0
10/25/2010	0	0	0	0	0
10/26/2010	0	0	0	0	0
10/27/2010	216.3	216.3	0	0	0
10/28/2010	200.5	70.5	0	130	0
10/29/2010	0	0	0	0	0
10/30/2010	109	14	0	95	1
10/31/2010	2933	0	0	2933	1
11/1/2010	2067	70	0	1997	1
11/2/2010	27	27	0	0	0
11/3/2010	0	0	0	0	0
11/4/2010	0	0	0	0	0
11/5/2010	65	0	0	65	0
11/6/2010	18	0	0	18	0
11/7/2010	140	0	0	140	0
11/8/2010	35	35	0	0	0
11/9/2010	38	38	0	0	1
11/10/2010	95	95	0	0	1
11/11/2010	0	0	0	0	0
11/12/2010	0	0	0	0	0
11/13/2010	35	35	0	0	0
11/14/2010	0	0	0	0	0
11/15/2010	54	54	0	0	0
11/16/2010	0	0	0	0	0
11/17/2010	41	0	0	41	1
11/18/2010	0	0	0	0	1
11/19/2010	210	0	0	210	1
11/20/2010	0	0	0	0	1
11/21/2010	11	11	0	0	1
11/22/2010	0	0	0	0	1
11/23/2010	124	124	0	0	1
11/24/2010	27	27	0	0	1
11/25/2010	0	0	0	0	1
11/26/2010	0	0	0	0	1
11/27/2010	0	0	0	0	1
11/28/2010	106	106	0	0	1
11/29/2010	222.2	35.2	0	187	0
11/30/2010	117.1	117.1	0	0	0
12/1/2010	22	22	0	0	1
12/2/2010	56.6	56.6	0	0	1
12/3/2010	0	0	0	0	1
12/4/2010	70	0	0	70	1
12/5/2010	7.5	7.5	0	0	1
12/6/2010	3039.65	219.65	0	2820	1
12/7/2010	44.2	35.2	0	9	1
12/8/2010	144	0	0	144	0
12/9/2010	1334	528	0	806	1
12/10/2010	2585.05	583.5	1980.55	21	1
12/11/2010	0	0	0	0	1
12/12/2010	0	0	0	0	1
12/13/2010	210	90	0	120	1
12/14/2010	34.5	34.5	0	0	1
12/15/2010	83.44	83.44	0	0	1
12/16/2010	153.75	153.75	0	0	1
12/17/2010	0	0	0	0	0
12/18/2010	0	0	0	0	0
12/19/2010	119.25	119.25	0	0	1
12/20/2010	70	70	0	0	1
12/21/2010	43	43	0	0	1
12/22/2010	0	0	0	0	1
12/23/2010	0	0	0	0	1
12/24/2010	0	0	0	0	1
12/25/2010	27.5	27.5	0	0	1
12/26/2010	0	0	0	0	0
12/27/2010	19	19	0	0	0
12/28/2010	0	0	0	0	1
12/29/2010	0	0	0	0	1
12/30/2010	0	0	0	0	1
12/31/2010	25	25	0	0	1
1/1/2011	35.5	35.5	0	0	1
1/2/2011	22	0	0	22	1
1/3/2011	38	10	0	28	1
1/4/2011	356.75	356.75	0	0	0
1/5/2011	42.5	42.5	0	0	0
1/6/2011	135.75	135.75	0	0	0
1/7/2011	42	42	0	0	0
1/8/2011	63	63	0	0	0
1/9/2011	46.5	46.5	0	0	0
1/10/2011	100	100	0	0	1
1/11/2011	90	90	0	0	1
1/12/2011	60	60	0	0	1
1/13/2011	118	118	0	0	0
1/14/2011	48	48	0	0	0
1/15/2011	16	16	0	0	0
1/16/2011	54	8	0	46	0
1/17/2011	8	8	0	0	0
1/18/2011	57	57	0	0	0
1/19/2011	315	45	0	270	0
1/20/2011	16	16	0	0	1
1/21/2011	24	0	0	24	1
1/22/2011	75	17	0	58	0
1/23/2011	0	0	0	0	0
1/24/2011	202.25	147.25	0	55	0
1/25/2011	106.5	106.5	0	0	0
1/26/2011	32.5	32.5	0	0	0
1/27/2011	0	0	0	0	1
1/28/2011	44.5	44.5	0	0	1
1/29/2011	76	76	0	0	1
1/30/2011	21.5	21.5	0	0	1
1/31/2011	733	33	0	700	0
2/1/2011	0	0	0	0	0
2/2/2011	0	0	0	0	0
2/3/2011	0	0	0	0	0
2/4/2011	136	136	0	0	0
2/5/2011	0	0	0	0	0
2/6/2011	0	0	0	0	0
2/7/2011	54.5	20	0	34.5	1
2/8/2011	50.5	0	0	50.5	1
2/9/2011	0	0	0	0	0
2/10/2011	0	0	0	0	0
2/11/2011	0	0	0	0	0
2/12/2011	0	0	0	0	0
2/13/2011	90	90	0	0	0
2/14/2011	15	15	0	0	0
2/15/2011	0	0	0	0	0
2/16/2011	94	0	0	94	0
2/17/2011	0	0	0	0	1
2/18/2011	0	0	0	0	0
2/19/2011	0	0	0	0	0
2/20/2011	0	0	0	0	0
2/21/2011	18	18	0	0	0
2/22/2011	38	38	0	0	0
2/23/2011	0	0	0	0	0
2/24/2011	0	0	0	0	1
2/25/2011	157	0	0	157	1
2/26/2011	0	0	0	0	1
2/27/2011	94	69	0	25	0
2/28/2011	0	0	0	0	0
3/1/2011	28	0	0	28	1
3/2/2011	0	0	0	0	1
